data.set;total.cost;lot.sale.days;overage;mileage;vehicle.type;domestic.import;vehicle.age;vehicle.age.group;color.set;makex;state;make.model
TRAIN;3767;233;YES;87086;FAMILY.MEDIUM;Domestic;12;SEVEN+;BLUE;OLDSMOBILE;VA;OLDSMOBILE.CIERA
TRAIN;5101;100;YES;86746;FAMILY.SMALL;Import;5;FIVE;BLUE;MAZDA;CA;MAZDA.PROTEGE
TRAIN;3839;95;YES;84672;FAMILY.LARGE;Domestic;8;SEVEN+;GREEN;BUICK;VA;BUICK.LESABRE
TRAIN;4232;252;YES;68680;FAMILY.MEDIUM;Domestic;7;SEVEN+;WHITE;FORD;NM;FORD.TAURUS
TRAIN;4890;109;YES;103985;FAMILY.MEDIUM;Domestic;5;FIVE;PURPLE;OLDSMOBILE;FL;OLDSMOBILE.88
TRAIN;5370;131;YES;82573;FAMILY.SMALL;Domestic;4;FOUR;RED;PONTIAC;FL;PONTIAC.GRAND AM
TRAIN;5537;205;YES;88289;ECONOMY;Domestic;7;SEVEN+;WHITE;CHEVROLET;NM;CHEVROLET.CORSICA
TRAIN;3727;259;YES;82165;ECONOMY;Domestic;7;SEVEN+;RED;PLYMOUTH;NM;PLYMOUTH.ACCLAIM
TRAIN;4722;204;YES;77515;FAMILY.SMALL;Domestic;6;SIX;PURPLE;MERCURY;NM;MERCURY.MYSTIQUE
TRAIN;3628;198;YES;101748;FAMILY.MEDIUM;Domestic;9;SEVEN+;WHITE;OLDSMOBILE;NM;OLDSMOBILE.CIERA
TRAIN;6242;109;YES;69446;FAMILY.MEDIUM;Domestic;4;FOUR;BLUE;CHEVROLET;NV;CHEVROLET.LUMINA
TRAIN;5973;108;YES;85408;LUXURY;Domestic;8;SEVEN+;RED;DODGE;CA;DODGE.INTREPID
TRAIN;6946;101;YES;57588;FAMILY.LARGE;Domestic;8;SEVEN+;GOLD;BUICK;CA;BUICK.LESABRE
TRAIN;5394;93;YES;78291;FAMILY.MEDIUM;Domestic;6;SIX;BLUE;BUICK;VA;BUICK.REGAL
TRAIN;3833;192;YES;67375;ECONOMY;Domestic;8;SEVEN+;BLUE;PLYMOUTH;FL;PLYMOUTH.ACCLAIM
TRAIN;4879;143;YES;91661;FAMILY.SMALL;Import;6;SIX;PURPLE;GEO;AZ;GEO.PRIZM
TRAIN;3823;168;YES;35985;FAMILY.MEDIUM;Domestic;7;SEVEN+;PURPLE;PLYMOUTH;FL;PLYMOUTH.ACCLAIM
TRAIN;6340;114;YES;95061;LUXURY;Import;4;FOUR;GOLD;NISSAN;CA;NISSAN.ALTIMA
TRAIN;4775;163;YES;90695;FAMILY.SMALL;Import;6;SIX;WHITE;GEO;AZ;GEO.PRIZM
TRAIN;5867;215;YES;97043;FAMILY.LARGE;Domestic;5;FIVE;GREEN;CHRYSLER;AZ;CHRYSLER.LHS
TRAIN;4247;295;YES;87025;LUXURY;Import;8;SEVEN+;PURPLE;NISSAN;VA;NISSAN.SENTRA
TRAIN;6290;120;YES;72372;FAMILY.MEDIUM;Domestic;8;SEVEN+;GOLD;BUICK;FL;BUICK.PARK AVENUE
TRAIN;4904;114;YES;67800;ECONOMY;Domestic;5;FIVE;BLUE;PLYMOUTH;GA;PLYMOUTH.NEON
TRAIN;4851;98;YES;100399;FAMILY.MEDIUM;Domestic;7;SEVEN+;PURPLE;BUICK;GA;BUICK.REGAL
TRAIN;5247;127;YES;86308;ECONOMY;Import;4;FOUR;WHITE;TOYOTA;TX;TOYOTA.TERCEL
TRAIN;5294;135;YES;63977;ECONOMY;Domestic;5;FIVE;GREEN;FORD;FL;FORD.ESCORT
TRAIN;5225;134;YES;74945;FAMILY.MEDIUM;Domestic;5;FIVE;WHITE;OLDSMOBILE;GA;OLDSMOBILE.CIERA
TRAIN;4349;209;YES;70533;FAMILY.MEDIUM;Domestic;8;SEVEN+;SILVER;CHRYSLER;NM;CHRYSLER.LEBARON
TRAIN;4680;101;YES;101891;FAMILY.MEDIUM;Domestic;5;FIVE;SILVER;BUICK;GA;BUICK.REGAL
TRAIN;4194;195;YES;116968;ECONOMY;Import;7;SEVEN+;PURPLE;NISSAN;TX;NISSAN.SENTRA
TRAIN;6155;150;YES;91204;LUXURY;Import;9;SEVEN+;PURPLE;HONDA;GA;HONDA.ACCORD
TRAIN;5254;91;YES;86852;FAMILY.MEDIUM;Domestic;7;SEVEN+;BLUE;OLDSMOBILE;GA;OLDSMOBILE.98
TRAIN;3785;98;YES;110921;FAMILY.MEDIUM;Domestic;8;SEVEN+;SILVER;BUICK;AZ;BUICK.CENTURY
TRAIN;7571;123;YES;80541;FAMILY.MEDIUM;Import;3;ONE-THREE;SILVER;HYUNDAI;TX;HYUNDAI.SONATA
TRAIN;4569;138;YES;84313;LUXURY;Domestic;7;SEVEN+;WHITE;FORD;CA;FORD.TAURUS
TRAIN;5675;232;YES;79781;FAMILY.MEDIUM;Domestic;6;SIX;RED;BUICK;FL;BUICK.SKYLARK
TRAIN;5562;244;YES;73461;FAMILY.SMALL;Import;5;FIVE;GREEN;HYUNDAI;CA;HYUNDAI.ACCENT
TRAIN;4540;100;YES;76566;ECONOMY;Domestic;5;FIVE;GREEN;FORD;CA;FORD.ESCORT
TRAIN;5713;117;YES;70121;FAMILY.LARGE;Domestic;6;SIX;GOLD;BUICK;TX;BUICK.LESABRE
TRAIN;6337;109;YES;18591;FAMILY.MEDIUM;Import;1;ONE-THREE;WHITE;DAEWOO;FL;DAEWOO.LANOS
TRAIN;3105;205;YES;69733;ECONOMY;Domestic;7;SEVEN+;BLUE;CHEVROLET;FL;CHEVROLET.CAVALIER
TRAIN;6530;103;YES;71210;FAMILY.MEDIUM;Domestic;5;FIVE;WHITE;BUICK;CA;BUICK.CENTURY
TRAIN;6026;108;YES;66031;FAMILY.LARGE;Domestic;5;FIVE;PURPLE;CHEVROLET;GA;CHEVROLET.LUMINA
TRAIN;5260;101;YES;18376;ECONOMY;Domestic;2;ONE-THREE;BLUE;FORD;TX;FORD.ESCORT
TRAIN;4711;103;YES;75057;FAMILY.MEDIUM;Domestic;5;FIVE;BLUE;BUICK;CA;BUICK.CENTURY
TRAIN;4958;98;YES;106075;FAMILY.LARGE;Domestic;6;SIX;RED;BUICK;CA;BUICK.REGAL
TRAIN;3656;94;YES;80835;FAMILY.SMALL;Import;7;SEVEN+;GREEN;GEO;AZ;GEO.PRIZM
TRAIN;5786;112;YES;93859;FAMILY.LARGE;Domestic;9;SEVEN+;BLUE;OLDSMOBILE;VA;OLDSMOBILE.88
TRAIN;5256;172;YES;51645;ECONOMY;Import;3;ONE-THREE;WHITE;KIA;GA;KIA.SEPHIA
TRAIN;6798;119;YES;63535;FAMILY.MEDIUM;Domestic;4;FOUR;WHITE;CHEVROLET;FL;CHEVROLET.LUMINA
TRAIN;4318;108;YES;86046;ECONOMY;Import;6;SIX;WHITE;TOYOTA;CA;TOYOTA.TERCEL
TRAIN;5035;111;YES;83222;FAMILY.LARGE;Domestic;7;SEVEN+;BLACK;OLDSMOBILE;CA;OLDSMOBILE.CUTLASS SUPREME
TRAIN;5303;100;YES;75419;FAMILY.MEDIUM;Domestic;7;SEVEN+;WHITE;OLDSMOBILE;AZ;OLDSMOBILE.CUTLASS SUPREME
TRAIN;4802;93;YES;99853;FAMILY.LARGE;Domestic;8;SEVEN+;WHITE;CHEVROLET;TX;CHEVROLET.LUMINA
TRAIN;5382;105;YES;101311;FAMILY.SMALL;Domestic;4;FOUR;GREEN;BUICK;TX;BUICK.SKYLARK
TRAIN;4382;114;YES;81401;FAMILY.MEDIUM;Domestic;5;FIVE;BLUE;CHEVROLET;TX;CHEVROLET.CORSICA
TRAIN;4264;136;YES;73027;ECONOMY;Import;5;FIVE;BLACK;GEO;TX;GEO.METRO
TRAIN;5640;148;YES;48841;FAMILY.MEDIUM;Domestic;5;FIVE;PURPLE;OLDSMOBILE;CA;OLDSMOBILE.CIERA
TRAIN;5313;122;YES;89707;LUXURY;Import;6;SIX;GOLD;NISSAN;FL;NISSAN.ALTIMA
TRAIN;6396;98;YES;76624;FAMILY.SMALL;Import;7;SEVEN+;RED;TOYOTA;CA;TOYOTA.COROLLA
TRAIN;3492;173;YES;83126;FAMILY.MEDIUM;Domestic;10;SEVEN+;GOLD;CHRYSLER;CA;CHRYSLER.LEBARON
TRAIN;2880;204;YES;69008;ECONOMY;Domestic;8;SEVEN+;BLUE;FORD;TX;FORD.ESCORT
TRAIN;5129;122;YES;81103;FAMILY.MEDIUM;Domestic;5;FIVE;BLUE;OLDSMOBILE;TX;OLDSMOBILE.CIERA
TRAIN;5876;141;YES;80180;FAMILY.LARGE;Domestic;4;FOUR;WHITE;CHEVROLET;GA;CHEVROLET.LUMINA
TRAIN;4695;121;YES;91141;FAMILY.MEDIUM;Domestic;8;SEVEN+;WHITE;CHEVROLET;FL;CHEVROLET.LUMINA
TRAIN;4425;99;YES;53797;FAMILY.SMALL;Import;4;FOUR;GOLD;GEO;CA;GEO.METRO
TRAIN;6321;120;YES;77867;FAMILY.LARGE;Domestic;6;SIX;WHITE;OLDSMOBILE;CA;OLDSMOBILE.CUTLASS SUPREME
TRAIN;3920;166;YES;93226;ECONOMY;Domestic;7;SEVEN+;SILVER;PLYMOUTH;NM;PLYMOUTH.ACCLAIM
TRAIN;4018;97;YES;73504;FAMILY.MEDIUM;Domestic;6;SIX;WHITE;OLDSMOBILE;CA;OLDSMOBILE.CIERA
TRAIN;4606;127;YES;89814;FAMILY.MEDIUM;Domestic;8;SEVEN+;GOLD;OLDSMOBILE;VA;OLDSMOBILE.CIERA
TRAIN;4741;172;YES;90815;FAMILY.SMALL;Domestic;7;SEVEN+;BLUE;OLDSMOBILE;TX;OLDSMOBILE.CIERA
TRAIN;5304;100;YES;99597;FAMILY.MEDIUM;Domestic;5;FIVE;PURPLE;OLDSMOBILE;TX;OLDSMOBILE.CUTLASS SUPREME
TRAIN;6739;106;YES;94011;FAMILY.SMALL;Domestic;4;FOUR;PURPLE;PONTIAC;NV;PONTIAC.GRAND AM
TRAIN;5114;102;YES;73473;FAMILY.MEDIUM;Domestic;5;FIVE;BLUE;CHEVROLET;FL;CHEVROLET.LUMINA
TRAIN;5154;102;YES;95565;FAMILY.LARGE;Domestic;7;SEVEN+;WHITE;OLDSMOBILE;CA;OLDSMOBILE.CUTLASS SUPREME
TRAIN;4173;181;YES;98159;ECONOMY;Import;6;SIX;RED;TOYOTA;AZ;TOYOTA.TERCEL
TRAIN;5382;109;YES;71305;FAMILY.LARGE;Domestic;5;FIVE;GOLD;BUICK;GA;BUICK.CENTURY
TRAIN;4967;99;YES;82233;FAMILY.MEDIUM;Domestic;6;SIX;WHITE;FORD;TX;FORD.TAURUS
TRAIN;4876;244;YES;86072;FAMILY.MEDIUM;Domestic;8;SEVEN+;WHITE;OLDSMOBILE;TX;OLDSMOBILE.CIERA
TRAIN;5617;98;YES;94584;LUXURY;Import;6;SIX;PURPLE;NISSAN;CA;NISSAN.ALTIMA
TRAIN;4055;209;YES;101977;ECONOMY;Domestic;6;SIX;WHITE;FORD;NM;FORD.ESCORT
TRAIN;6117;97;YES;56116;FAMILY.MEDIUM;Domestic;5;FIVE;GREEN;DODGE;CA;DODGE.STRATUS
TRAIN;5468;117;YES;90183;FAMILY.MEDIUM;Domestic;4;FOUR;BLACK;CHEVROLET;TX;CHEVROLET.LUMINA
TRAIN;4707;255;YES;71026;FAMILY.SMALL;Domestic;6;SIX;RED;FORD;CA;FORD.ESCORT
TRAIN;4917;240;YES;71533;ECONOMY;Domestic;6;SIX;WHITE;MERCURY;NM;MERCURY.TRACER
TRAIN;4212;130;YES;77199;FAMILY.SMALL;Import;5;FIVE;BLUE;GEO;AZ;GEO.PRIZM
TRAIN;5287;99;YES;96679;LUXURY;Import;5;FIVE;BLUE;MAZDA;FL;MAZDA.PROTEGE
TRAIN;6015;147;YES;96454;LUXURY;Import;5;FIVE;GREEN;NISSAN;TX;NISSAN.SENTRA
TRAIN;3503;171;YES;83819;ECONOMY;Domestic;8;SEVEN+;PURPLE;FORD;FL;FORD.TEMPO
TRAIN;4802;105;YES;78762;FAMILY.MEDIUM;Domestic;5;FIVE;SILVER;OLDSMOBILE;TX;OLDSMOBILE.CIERA
TRAIN;5385;91;YES;91499;FAMILY.LARGE;Domestic;7;SEVEN+;GREEN;OLDSMOBILE;TX;OLDSMOBILE.88
TRAIN;5588;118;YES;100045;FAMILY.MEDIUM;Domestic;5;FIVE;GREEN;BUICK;FL;BUICK.REGAL
TRAIN;6736;102;YES;96715;LUXURY;Import;7;SEVEN+;SILVER;TOYOTA;AZ;TOYOTA.CAMRY
TRAIN;6189;98;YES;72133;ECONOMY;Import;5;FIVE;BLACK;TOYOTA;CA;TOYOTA.TERCEL
TRAIN;6470;101;YES;74873;FAMILY.LARGE;Domestic;6;SIX;WHITE;FORD;CA;FORD.CROWN VICTORIA
TRAIN;5133;107;YES;84787;FAMILY.MEDIUM;Domestic;5;FIVE;BLUE;CHEVROLET;FL;CHEVROLET.LUMINA
TRAIN;7591;122;YES;97309;LUXURY;Import;7;SEVEN+;WHITE;TOYOTA;NV;TOYOTA.CAMRY
TRAIN;5105;114;YES;92694;FAMILY.LARGE;Domestic;6;SIX;BLUE;CHEVROLET;AZ;CHEVROLET.LUMINA
TRAIN;5746;94;YES;70881;FAMILY.LARGE;Domestic;5;FIVE;PURPLE;CHEVROLET;TX;CHEVROLET.LUMINA
TRAIN;5626;143;YES;88024;FAMILY.MEDIUM;Domestic;5;FIVE;GREEN;FORD;CA;FORD.CONTOUR
TRAIN;6020;100;YES;100981;FAMILY.LARGE;Domestic;9;SEVEN+;BLUE;BUICK;CA;BUICK.LESABRE
TRAIN;6129;91;YES;51200;FAMILY.SMALL;Import;6;SIX;GREEN;TOYOTA;CA;TOYOTA.TERCEL
TRAIN;5358;127;YES;60383;FAMILY.SMALL;Domestic;4;FOUR;WHITE;FORD;CA;FORD.ESCORT
TRAIN;5069;117;YES;79253;ECONOMY;Domestic;5;FIVE;WHITE;DODGE;GA;DODGE.NEON
TRAIN;6225;265;YES;82315;FAMILY.SMALL;Domestic;5;FIVE;PURPLE;OLDSMOBILE;TX;OLDSMOBILE.CIERA
TRAIN;3760;93;YES;77249;FAMILY.MEDIUM;Domestic;6;SIX;BLUE;OLDSMOBILE;CA;OLDSMOBILE.CIERA
TRAIN;4005;114;YES;95198;FAMILY.MEDIUM;Domestic;6;SIX;PURPLE;BUICK;FL;BUICK.SKYLARK
TRAIN;3523;153;YES;73046;ECONOMY;Domestic;7;SEVEN+;PURPLE;CHEVROLET;VA;CHEVROLET.CAVALIER
TRAIN;5156;109;YES;72888;FAMILY.MEDIUM;Domestic;5;FIVE;GOLD;BUICK;AZ;BUICK.CENTURY
TRAIN;4414;123;YES;82790;LUXURY;Import;6;SIX;WHITE;MAZDA;FL;MAZDA.PROTEGE
TRAIN;4851;91;YES;65390;FAMILY.MEDIUM;Domestic;6;SIX;WHITE;OLDSMOBILE;NV;OLDSMOBILE.CIERA
TRAIN;4268;181;YES;95090;FAMILY.MEDIUM;Domestic;7;SEVEN+;WHITE;OLDSMOBILE;NM;OLDSMOBILE.CIERA
TRAIN;5493;113;YES;80200;FAMILY.MEDIUM;Domestic;8;SEVEN+;WHITE;PONTIAC;VA;PONTIAC.GRAND PRIX
TRAIN;6365;122;YES;85602;FAMILY.MEDIUM;Domestic;5;FIVE;PURPLE;BUICK;TX;BUICK.REGAL
TRAIN;3525;253;YES;74762;FAMILY.MEDIUM;Domestic;9;SEVEN+;BLUE;FORD;VA;FORD.TEMPO
TRAIN;7276;94;YES;89002;FAMILY.LARGE;Domestic;7;SEVEN+;BLACK;OTHER;NV;LINCOLN.TOWN CAR
TRAIN;5223;101;YES;87460;ECONOMY;Import;5;FIVE;BLACK;TOYOTA;CA;TOYOTA.TERCEL
TRAIN;4399;112;YES;79700;FAMILY.MEDIUM;Domestic;8;SEVEN+;BLUE;CHEVROLET;VA;CHEVROLET.LUMINA
TRAIN;4909;95;YES;79219;FAMILY.MEDIUM;Domestic;5;FIVE;RED;OLDSMOBILE;AZ;OLDSMOBILE.CIERA
TRAIN;4342;103;YES;88275;ECONOMY;Domestic;5;FIVE;WHITE;CHEVROLET;NM;CHEVROLET.CORSICA
TRAIN;4418;112;YES;55183;FAMILY.LARGE;Domestic;6;SIX;GREEN;BUICK;GA;BUICK.CENTURY
TRAIN;3383;243;YES;91265;FAMILY.SMALL;Domestic;8;SEVEN+;BLUE;FORD;CA;FORD.ESCORT
TRAIN;3939;195;YES;105873;FAMILY.MEDIUM;Domestic;6;SIX;BLUE;PONTIAC;CA;PONTIAC.GRAND PRIX
TRAIN;5477;224;YES;83730;FAMILY.SMALL;Import;9;SEVEN+;BLUE;TOYOTA;TX;TOYOTA.COROLLA
TRAIN;6052;109;YES;102157;LUXURY;Import;7;SEVEN+;WHITE;TOYOTA;FL;TOYOTA.CAMRY
TRAIN;5576;97;YES;69604;FAMILY.MEDIUM;Domestic;5;FIVE;WHITE;FORD;FL;FORD.TAURUS
TRAIN;5636;93;YES;67887;FAMILY.LARGE;Domestic;4;FOUR;GREEN;OLDSMOBILE;CA;OLDSMOBILE.ACHIEVA
TRAIN;5772;93;YES;95183;FAMILY.MEDIUM;Domestic;5;FIVE;SILVER;OLDSMOBILE;TX;OLDSMOBILE.CIERA
TRAIN;6178;111;YES;84614;ECONOMY;Import;5;FIVE;GREEN;TOYOTA;CA;TOYOTA.TERCEL
TRAIN;5919;119;YES;108248;FAMILY.SMALL;Import;7;SEVEN+;SILVER;TOYOTA;AZ;TOYOTA.COROLLA
TRAIN;4124;142;YES;70394;ECONOMY;Import;5;FIVE;WHITE;GEO;VA;GEO.METRO
TRAIN;4798;95;YES;89055;FAMILY.LARGE;Domestic;9;SEVEN+;PURPLE;OLDSMOBILE;GA;OLDSMOBILE.88
TRAIN;3890;213;YES;87395;ECONOMY;Domestic;8;SEVEN+;GREEN;PLYMOUTH;NM;PLYMOUTH.ACCLAIM
TRAIN;3785;197;YES;88330;FAMILY.MEDIUM;Domestic;8;SEVEN+;WHITE;OLDSMOBILE;NM;OLDSMOBILE.CIERA
TRAIN;4190;108;YES;72155;ECONOMY;Import;5;FIVE;GOLD;HYUNDAI;FL;HYUNDAI.ACCENT
TRAIN;3620;142;YES;100939;FAMILY.MEDIUM;Domestic;7;SEVEN+;GREEN;CHRYSLER;NM;CHRYSLER.LEBARON
TRAIN;4631;102;YES;75283;FAMILY.SMALL;Domestic;5;FIVE;BLUE;CHEVROLET;FL;CHEVROLET.CAVALIER
TRAIN;4684;140;YES;70491;ECONOMY;Domestic;6;SIX;BLUE;CHEVROLET;NV;CHEVROLET.CORSICA
TRAIN;4653;94;YES;80408;FAMILY.MEDIUM;Domestic;6;SIX;WHITE;OLDSMOBILE;TX;OLDSMOBILE.CIERA
TRAIN;5013;249;YES;77658;FAMILY.MEDIUM;Import;6;SIX;WHITE;OTHER;AZ;SUZUKI.ESTEEM
TRAIN;5317;91;YES;88314;FAMILY.SMALL;Import;4;FOUR;GOLD;TOYOTA;GA;TOYOTA.COROLLA
TRAIN;6301;147;YES;103529;LUXURY;Import;4;FOUR;PURPLE;NISSAN;GA;NISSAN.ALTIMA
TRAIN;4733;158;YES;103883;FAMILY.SMALL;Domestic;5;FIVE;GOLD;OLDSMOBILE;TX;OLDSMOBILE.CIERA
TRAIN;3438;140;YES;88581;FAMILY.MEDIUM;Domestic;6;SIX;WHITE;OLDSMOBILE;VA;OLDSMOBILE.CIERA
TRAIN;5453;110;YES;69843;FAMILY.SMALL;Domestic;4;FOUR;RED;CHEVROLET;GA;CHEVROLET.CAVALIER
TRAIN;5201;113;YES;99261;FAMILY.LARGE;Domestic;6;SIX;WHITE;OLDSMOBILE;GA;OLDSMOBILE.88
TRAIN;4902;141;YES;88503;ECONOMY;Domestic;6;SIX;GREEN;DODGE;GA;DODGE.NEON
TRAIN;5916;95;YES;65027;FAMILY.MEDIUM;Domestic;5;FIVE;GREEN;OLDSMOBILE;FL;OLDSMOBILE.CUTLASS SUPREME
TRAIN;4757;96;YES;83352;LUXURY;Import;5;FIVE;SILVER;NISSAN;FL;NISSAN.SENTRA
TRAIN;4028;225;YES;97789;FAMILY.MEDIUM;Domestic;8;SEVEN+;PURPLE;PONTIAC;CA;PONTIAC.GRAND AM
TRAIN;4934;174;YES;38592;FAMILY.MEDIUM;Domestic;8;SEVEN+;BLUE;DODGE;VA;DODGE.DYNASTY
TRAIN;5484;93;YES;76580;FAMILY.MEDIUM;Domestic;5;FIVE;WHITE;CHEVROLET;NV;CHEVROLET.LUMINA
TRAIN;4437;105;YES;77049;FAMILY.LARGE;Domestic;9;SEVEN+;WHITE;OLDSMOBILE;CA;OLDSMOBILE.CUTLASS SUPREME
TRAIN;4706;99;YES;59700;FAMILY.MEDIUM;Domestic;6;SIX;GREEN;PLYMOUTH;AZ;PLYMOUTH.NEON
