Ano,Código,Nome da Disciplina,CH,CR,TU,MF,FA,SF,SE,rga_anonimo,Disciplina,Grupo de Disciplinas,Tipo de Disciplina,Optativa
2022/1,112700014,Laboratório de Arquitetura de Computadores,32,2,CC,5.23,2,AP,3,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Laboratório de Arquitetura de Computadores,Arquitetura e Organização de Computadores,Computação,Não
2022/1,72000013,LINGUAGEM BRASILEIRA DE SINAIS,64,4,D2,9.95,4,AP,0,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Libras,Libras,Linguagens,Sim
2022/1,112700018,Programação II,64,4,CC,6.9,0,AP,3,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Programação II,Programação,Computação,Não
2022/2,112700023,Banco de Dados,64,4,CC,0.84,4,RM,4,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Banco de Dados,Banco de Dados,Computação,Não
2022/2,112700021,Engenharia de Software,64,4,CC,6.58,4,AP,4,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Engenharia de Software,Engenharia de Software,Computação,Não
2022/2,112700009,Estrutura de Dados I,96,6,CC,8.71,0,AP,2,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Estrutura de Dados I,Estrutura de Dados,Computação,Não
2022/2,112700035,Filosofia e Metodologia Científica,64,4,CC,8.1,0,AP,6,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Filosofia e Metodologia Científica,Filosofia e Metodologia Científica,Pesquisa,Não
2022/2,112700067,Libras (Opt),64,4,Indefinido,9.76,0,AE,0,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Libras,Libras,Linguagens,Sim
2022/2,112700024,Linguagens Formais e Autômatos,64,4,CC,6.71,0,AP,4,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Linguagens Formais e Autômatos,Linguagens Formais e Autômatos,Computação,Não
2022/2,112700022,Programação III,64,4,CC,5.0,0,AP,4,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Programação III,Programação,Computação,Não
2022/2,112700025,Álgebra Linear I,64,4,CC,9.13,0,AP,4,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Álgebra Linear I,Álgebra Linear,Matemática,Não
2023/1,112700030,Compiladores,64,4,CC,8.2,8,AP,5,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Compiladores,Compiladores,Computação,Não
2023/1,112700029,Cálculo Numérico e Computacional,64,4,CC,8.78,0,AP,5,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Cálculo Numérico,Cálculo Numérico,Matemática,Não
2023/1,112700013,Estrutura de Dados II,64,4,CC,7.5,16,AP,3,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Estrutura de Dados II,Estrutura de Dados,Computação,Não
2023/1,112700027,Projeto de Software,64,4,CC1,8.0,0,AP,5,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Projeto de Software,Engenharia de Software,Computação,Não
2023/1,112700016,Sistemas Operacionais I,64,4,CC,3.49,8,RM,3,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Sistemas Operacionais I,Sistemas Operacionais,Computação,Não
2023/2,112700023,Banco de Dados,64,4,CC,0.0,0,MA,4,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Banco de Dados,Banco de Dados,Computação,Não
2023/2,112600104,CÁLCULO DIFERENCIAL E INTEGRAL II,96,6,FIP,0.0,0,MA,0,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Cálculo II,Cálculo,Matemática,Não
2023/2,112700037,Laboratório de Compiladores,32,2,CC,0.0,0,MA,6,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Laboratório de Compiladores,Compiladores,Computação,Não
2023/2,112700019,Organização de Computadores,64,4,CC,0.0,0,MA,4,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Organização de Computadores,Arquitetura e Organização de Computadores,Computação,Não
2023/2,112700033,Paradigmas de Linguagens de Programação,64,4,CC,0.0,0,MA,6,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Paradigmas de Linguagens de Programação,Paradigmas de Linguagens de Programação,Computação,Não
2023/2,112700020,Sistemas Operacionais II,64,4,CC,0.0,0,MA,4,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Sistemas Operacionais II,Sistemas Operacionais,Computação,Não
2018/1,72100022,FUNDAMENTOS DE MATEMÁTICA,64,4,CC,7.2,4,AP,0,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Fundamentos de Matemática,Fundamentos de Matemática,Matemática,Não
2018/1,72100023,GEOMETRIA ANALÍTICA E VETORIAL,96,6,CC,0.0,22,RM,0,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Geometria Analítica e Vetorial,Geometria,Matemática,Não
2018/1,70400377,Lógica Matemática e Elementos de Lógica Digital,96,6,CC,6.3,6,AP,0,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Lógica Digital,Lógica Digital,Computação,Não
2018/1,70400375,Programação I,96,6,CC,8.21,0,AP,0,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Programação I,Programação,Computação,Não
2018/1,72000016,Práticas de Leitura e Produção de Textos,96,6,CC,9.5,4,AP,0,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Práticas de Leitura e Produção de Texto,Práticas de Leitura e Produção de Texto,Linguagens,Não
2018/2,72100003,CÁLCULO I,96,6,CC,0.0,60,RMF,0,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Cálculo I,Cálculo,Matemática,Não
2018/2,72100020,ESTATISTICA GERAL,64,4,CC,0.22,48,RMF,0,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Estatística Geral,Estatística,Matemática,Não
2018/2,70400382,Estrutura de Dados I,96,6,CC,0.31,48,RMF,0,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Estrutura de Dados I,Estrutura de Dados,Computação,Não
2018/2,70400381,Matemática Discreta,64,4,CC,0.67,36,RMF,0,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Matemática Discreta,Matemática Discreta,Matemática,Não
2018/2,72100029,MECÂNICA,96,6,CC,0.0,0,RM,0,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Mecânica,Mecânica,Física,Não
2019/1,112700005,Eletrônica Básica,32,2,Indefinido,6.3,6,AE,1,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Eletrônica Básica,Eletrônica Básica,Física,Não
2019/1,112700069,Fundamentos de Matemática (Opt),64,4,Indefinido,7.2,4,AE,0,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Fundamentos de Matemática,Fundamentos de Matemática,Matemática,Sim
2019/1,112700004,Introdução à Computação,32,2,Indefinido,8.21,0,AE,1,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Introdução à Computação,Introdução à Computação,Computação,Não
2019/1,112700010,Laboratório de Lógica Digital,32,2,Indefinido,6.3,6,AE,2,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Laboratório de Lógica Digital,Lógica Digital,Computação,Não
2019/1,112700003,Lógica Digital,64,4,Indefinido,6.3,6,AE,1,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Lógica Digital,Lógica Digital,Computação,Não
2019/1,112700002,Programação de Computadores,64,4,Indefinido,8.21,0,AE,1,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Programação I,Programação,Computação,Não
2019/1,112700072,Práticas de Leitura de Produção de Textos I (Opt),64,4,Indefinido,9.5,0,AE,0,5ad972816e07ef67b58516f5f3348bbb2f1f5806a573e2b501253793eb3e6e8b,Práticas de Leitura e Produção de Texto,Práticas de Leitura e Produção de Texto,Linguagens,Sim
2010/1,72100022,FUNDAMENTOS DE MATEMÁTICA,64,4,CC,8.1,4,AP,1,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Fundamentos de Matemática,Fundamentos de Matemática,Matemática,Não
2010/1,72100023,GEOMETRIA ANALÍTICA E VETORIAL,96,6,CC,8.6,0,AP,1,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Geometria Analítica e Vetorial,Geometria,Matemática,Não
2010/1,70400377,Lógica Matemática e Elementos de Lógica Digital,96,6,CC,6.2,0,AP,1,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Lógica Digital,Lógica Digital,Computação,Não
2010/1,70400375,Programação I,96,6,CC,5.5,6,AP,1,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Programação I,Programação,Computação,Não
2010/1,72000016,Práticas de Leitura e Produção de Textos,96,6,CC,6.5,6,AP,1,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Práticas de Leitura e Produção de Texto,Práticas de Leitura e Produção de Texto,Linguagens,Não
2010/2,72100003,CÁLCULO I,96,6,CC,6.6,20,AP,2,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Cálculo I,Cálculo,Matemática,Não
2010/2,72100020,ESTATISTICA GERAL,64,4,CC,7.1,5,AP,2,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Estatística Geral,Estatística,Matemática,Não
2010/2,70400382,Estrutura de Dados I,96,6,CC,4.9,20,RM,2,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Estrutura de Dados I,Estrutura de Dados,Computação,Não
2010/2,70400381,Matemática Discreta,64,4,CC,6.5,10,AP,2,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Matemática Discreta,Matemática Discreta,Matemática,Não
2010/2,72100029,MECÂNICA,96,6,CC,7.9,1,AP,2,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Mecânica,Mecânica,Física,Não
2012/1,70400711,Arquitetura e Organização de Computadores,96,6,CC,9.5,0,AP,3,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Arquitetura e Organização de Computadores,Arquitetura e Organização de Computadores,Computação,Não
2012/1,72100004,CÁLCULO II,96,6,Indefinido,0.0,0,AE,3,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Cálculo II,Cálculo,Matemática,Não
2012/1,72100013,ELETRICIDADE E MAGNETISMO,96,6,CC,2.0,30,RMF,3,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Eletromagnetismo,Eletromagnetismo,Física,Não
2012/1,72000009,FILOSOFIA E METODOLOGIA CIENTÍFICA,64,4,CC,0.0,20,RMF,7,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Filosofia e Metodologia Científica,Filosofia e Metodologia Científica,Pesquisa,Não
2012/1,70400713,Introdução aos Sistemas de Informação,64,4,CC,5.5,14,AP,3,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Introdução aos Sistemas de Informação,Introdução aos Sistemas de Informação,Computação,Não
2012/1,70400722,Linguagens Formais e Autômatos,64,4,CC,7.0,0,AP,5,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Linguagens Formais e Autômatos,Linguagens Formais e Autômatos,Computação,Não
2012/2,70400718,Banco de Dados,96,6,CC1,6.8,20,AP,4,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Banco de Dados,Banco de Dados,Computação,Não
2012/2,72100005,CÁLCULO III,96,6,CC,6.7,10,AP,4,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Cálculo III,Cálculo,Matemática,Não
2012/2,72100007,CÁLCULO NUMÉRICO COMPUTACIONAL,64,4,CC,9.12,0,AP,4,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Cálculo Numérico,Cálculo Numérico,Matemática,Não
2012/2,72100013,ELETRICIDADE E MAGNETISMO,96,6,EC,6.0,0,AP,3,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Eletromagnetismo,Eletromagnetismo,Física,Não
2012/2,70400717,Programação II,64,4,CC,6.3,0,AP,4,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Programação II,Programação,Computação,Não
2013/2,70400382,Estrutura de Dados I,96,6,CC,0.0,96,RMF,2,b28bc7f9776cf86eee4b988d2b6087e9e2d812e77e5370df52059f4fb312fb48,Estrutura de Dados I,Estrutura de Dados,Computação,Não
2022/1,112700001,Cálculo I,96,6,CC,0.0,80,RMF,1,2826421269954f0c8ed6e03df431f94f3462b3fbb131e5d7e8acb0c75a1c222e,Cálculo I,Cálculo,Matemática,Não
2022/1,112700005,Eletrônica Básica,32,2,CC,2.0,12,RMF,1,2826421269954f0c8ed6e03df431f94f3462b3fbb131e5d7e8acb0c75a1c222e,Eletrônica Básica,Eletrônica Básica,Física,Não
2022/1,112700006,Geometria Analítica e Vetorial,64,4,CC,0.0,36,RMF,1,2826421269954f0c8ed6e03df431f94f3462b3fbb131e5d7e8acb0c75a1c222e,Geometria Analítica e Vetorial,Geometria,Matemática,Não
2022/1,112700004,Introdução à Computação,32,2,CC,1.05,2,RM,1,2826421269954f0c8ed6e03df431f94f3462b3fbb131e5d7e8acb0c75a1c222e,Introdução à Computação,Introdução à Computação,Computação,Não
2022/1,112700003,Lógica Digital,64,4,CC,0.0,44,RMF,1,2826421269954f0c8ed6e03df431f94f3462b3fbb131e5d7e8acb0c75a1c222e,Lógica Digital,Lógica Digital,Computação,Não
2022/1,112700002,Programação de Computadores,64,4,CC,0.0,8,RM,1,2826421269954f0c8ed6e03df431f94f3462b3fbb131e5d7e8acb0c75a1c222e,Programação I,Programação,Computação,Não
2023/1,112700001,Cálculo I,96,6,CC,5.63,2,AP,1,1350e56c6971f3c358f6b7b545b3fdbebc9546f096592013784d68ba9766c2a4,Cálculo I,Cálculo,Matemática,Não
2023/1,112700005,Eletrônica Básica,32,2,CC,6.64,0,AP,1,1350e56c6971f3c358f6b7b545b3fdbebc9546f096592013784d68ba9766c2a4,Eletrônica Básica,Eletrônica Básica,Física,Não
2023/1,112700006,Geometria Analítica e Vetorial,64,4,CC,6.75,12,AP,1,1350e56c6971f3c358f6b7b545b3fdbebc9546f096592013784d68ba9766c2a4,Geometria Analítica e Vetorial,Geometria,Matemática,Não
2023/1,112700004,Introdução à Computação,32,2,CC,7.0,0,AP,1,1350e56c6971f3c358f6b7b545b3fdbebc9546f096592013784d68ba9766c2a4,Introdução à Computação,Introdução à Computação,Computação,Não
2023/1,112700003,Lógica Digital,64,4,CC,5.18,4,AP,1,1350e56c6971f3c358f6b7b545b3fdbebc9546f096592013784d68ba9766c2a4,Lógica Digital,Lógica Digital,Computação,Não
2023/1,112700002,Programação de Computadores,64,4,CC,5.9,4,AP,1,1350e56c6971f3c358f6b7b545b3fdbebc9546f096592013784d68ba9766c2a4,Programação I,Programação,Computação,Não
2023/2,112700012,Arquitetura de Computadores,64,4,CC,0.0,0,MA,2,1350e56c6971f3c358f6b7b545b3fdbebc9546f096592013784d68ba9766c2a4,Arquitetura de Computadores,Arquitetura e Organização de Computadores,Computação,Não
2023/2,112700011,Cálculo II,96,6,CC,0.0,0,MA,2,1350e56c6971f3c358f6b7b545b3fdbebc9546f096592013784d68ba9766c2a4,Cálculo II,Cálculo,Matemática,Não
2023/2,112700009,Estrutura de Dados I,96,6,CC,0.0,0,MA,2,1350e56c6971f3c358f6b7b545b3fdbebc9546f096592013784d68ba9766c2a4,Estrutura de Dados I,Estrutura de Dados,Computação,Não
2023/2,112700010,Laboratório de Lógica Digital,32,2,CC,0.0,0,MA,2,1350e56c6971f3c358f6b7b545b3fdbebc9546f096592013784d68ba9766c2a4,Laboratório de Lógica Digital,Lógica Digital,Computação,Não
2023/2,112700008,Matemática Discreta,64,4,CC,0.0,0,MA,2,1350e56c6971f3c358f6b7b545b3fdbebc9546f096592013784d68ba9766c2a4,Matemática Discreta,Matemática Discreta,Matemática,Não
2023/2,112700025,Álgebra Linear I,64,4,CC,0.0,0,MA,4,1350e56c6971f3c358f6b7b545b3fdbebc9546f096592013784d68ba9766c2a4,Álgebra Linear I,Álgebra Linear,Matemática,Não
2011/1,72100022,FUNDAMENTOS DE MATEMÁTICA,64,4,CC,5.9,8,AP,1,7d68c0cdfaeabb03d8f66320910f07915b0822936c52281400d0c90fb2d26666,Fundamentos de Matemática,Fundamentos de Matemática,Matemática,Não
2011/1,72100023,GEOMETRIA ANALÍTICA E VETORIAL,96,6,CC,9.75,4,AP,1,7d68c0cdfaeabb03d8f66320910f07915b0822936c52281400d0c90fb2d26666,Geometria Analítica e Vetorial,Geometria,Matemática,Não
2011/1,70400377,Lógica Matemática e Elementos de Lógica Digital,96,6,CC,4.5,14,RM,1,7d68c0cdfaeabb03d8f66320910f07915b0822936c52281400d0c90fb2d26666,Lógica Digital,Lógica Digital,Computação,Não
2011/1,70400375,Programação I,96,6,CC,2.02,12,RM,1,7d68c0cdfaeabb03d8f66320910f07915b0822936c52281400d0c90fb2d26666,Programação I,Programação,Computação,Não
2011/1,72000016,Práticas de Leitura e Produção de Textos,96,6,CC,8.5,16,AP,1,7d68c0cdfaeabb03d8f66320910f07915b0822936c52281400d0c90fb2d26666,Práticas de Leitura e Produção de Texto,Práticas de Leitura e Produção de Texto,Linguagens,Não
2014/1,72100022,FUNDAMENTOS DE MATEMÁTICA,64,4,CC,4.3,0,RM,1,b52cfeba2d0e862866bb97f13f547b5ed5feeb034703d45c51e8acb9ed57c7f3,Fundamentos de Matemática,Fundamentos de Matemática,Matemática,Não
2014/1,72100023,GEOMETRIA ANALÍTICA E VETORIAL,96,6,CC,1.0,0,RM,1,b52cfeba2d0e862866bb97f13f547b5ed5feeb034703d45c51e8acb9ed57c7f3,Geometria Analítica e Vetorial,Geometria,Matemática,Não
2014/1,70400377,Lógica Matemática e Elementos de Lógica Digital,96,6,CC,5.2,2,AP,1,b52cfeba2d0e862866bb97f13f547b5ed5feeb034703d45c51e8acb9ed57c7f3,Lógica Digital,Lógica Digital,Computação,Não
2014/1,70400375,Programação I,96,6,CC,5.85,8,AP,1,b52cfeba2d0e862866bb97f13f547b5ed5feeb034703d45c51e8acb9ed57c7f3,Programação I,Programação,Computação,Não
2014/1,72000016,Práticas de Leitura e Produção de Textos,96,6,CC,9.5,2,AP,1,b52cfeba2d0e862866bb97f13f547b5ed5feeb034703d45c51e8acb9ed57c7f3,Práticas de Leitura e Produção de Texto,Práticas de Leitura e Produção de Texto,Linguagens,Não
2014/2,72100003,CÁLCULO I,96,6,CC,5.0,6,AP,2,b52cfeba2d0e862866bb97f13f547b5ed5feeb034703d45c51e8acb9ed57c7f3,Cálculo I,Cálculo,Matemática,Não
2014/2,72100020,ESTATISTICA GERAL,64,4,CC,3.0,12,RM,2,b52cfeba2d0e862866bb97f13f547b5ed5feeb034703d45c51e8acb9ed57c7f3,Estatística Geral,Estatística,Matemática,Não
2014/2,70400382,Estrutura de Dados I,96,6,CC,5.3,8,AP,2,b52cfeba2d0e862866bb97f13f547b5ed5feeb034703d45c51e8acb9ed57c7f3,Estrutura de Dados I,Estrutura de Dados,Computação,Não
2014/2,72100022,FUNDAMENTOS DE MATEMÁTICA,64,4,LQP,8.33,0,AP,1,b52cfeba2d0e862866bb97f13f547b5ed5feeb034703d45c51e8acb9ed57c7f3,Fundamentos de Matemática,Fundamentos de Matemática,Matemática,Não
2014/2,70400381,Matemática Discreta,64,4,CC,5.0,0,AP,2,b52cfeba2d0e862866bb97f13f547b5ed5feeb034703d45c51e8acb9ed57c7f3,Matemática Discreta,Matemática Discreta,Matemática,Não
2014/2,72100029,MECÂNICA,96,6,CC,3.6,0,RM,2,b52cfeba2d0e862866bb97f13f547b5ed5feeb034703d45c51e8acb9ed57c7f3,Mecânica,Mecânica,Física,Não
2010/1,72100022,FUNDAMENTOS DE MATEMÁTICA,64,4,CC,5.7,6,AP,1,f0ceeede4453abae9e28bd313e9136262847a65083c1cfa23b750f9cd9fe322c,Fundamentos de Matemática,Fundamentos de Matemática,Matemática,Não
2010/1,72100023,GEOMETRIA ANALÍTICA E VETORIAL,96,6,CC,5.7,16,AP,1,f0ceeede4453abae9e28bd313e9136262847a65083c1cfa23b750f9cd9fe322c,Geometria Analítica e Vetorial,Geometria,Matemática,Não
2010/1,70400377,Lógica Matemática e Elementos de Lógica Digital,96,6,CC,6.3,0,AP,1,f0ceeede4453abae9e28bd313e9136262847a65083c1cfa23b750f9cd9fe322c,Lógica Digital,Lógica Digital,Computação,Não
